bubbleSortPassPerItem, int, partSorted, 122738092979081, 122738096135066, 3155985
bubbleSortPassPerItem, int, partSorted, 122738096202475, 122738099369448, 3166973
bubbleSortPassPerItem, int, partSorted, 122738099418016, 122738103997507, 4579491
bubbleSortPassPerItem, int, partSorted, 122738104173232, 122738107411651, 3238419
bubbleSortPassPerItem, int, partSorted, 122738107482208, 122738110692792, 3210584
bubbleSortPassPerItem, int, partSorted, 122738110746546, 122738113953442, 3206896
bubbleSortPassPerItem, int, partSorted, 122738113999787, 122738117417564, 3417777
bubbleSortPassPerItem, int, partSorted, 122738117496386, 122738121674327, 4177941
bubbleSortPassPerItem, int, partSorted, 122738121793469, 122738125118005, 3324536
bubbleSortPassPerItem, int, partSorted, 122738125173199, 122738128451568, 3278369
bubbleSortPassPerItem, int, partSorted, 122738128491821, 122738131642690, 3150869
bubbleSortPassPerItem, int, partSorted, 122738131670129, 122738135855510, 4185381
bubbleSortPassPerItem, int, partSorted, 122738136066755, 122738139815604, 3748849
bubbleSortPassPerItem, int, partSorted, 122738139921489, 122738143244438, 3322949
bubbleSortPassPerItem, int, partSorted, 122738143294315, 122738146524157, 3229842
bubbleSortPassPerItem, int, partSorted, 122738146557855, 122738149758665, 3200810
bubbleSortPassPerItem, int, partSorted, 122738149790445, 122738154348490, 4558045
bubbleSortPassPerItem, int, partSorted, 122738154459158, 122738157990778, 3531620
bubbleSortPassPerItem, int, partSorted, 122738158085809, 122738161400610, 3314801
bubbleSortPassPerItem, int, partSorted, 122738161439109, 122738164796686, 3357577
bubbleSortPassPerItem, int, partSorted, 122738164836282, 122738169121300, 4285018
bubbleSortPassPerItem, int, partSorted, 122738169356809, 122738173463222, 4106413
bubbleSortPassPerItem, int, partSorted, 122738173572440, 122738176885885, 3313445
bubbleSortPassPerItem, int, partSorted, 122738176920380, 122738180300773, 3380393
bubbleSortPassPerItem, int, partSorted, 122738180340237, 122738183494622, 3154385
bubbleSortPassPerItem, int, partSorted, 122738183523763, 122738188704953, 5181190
bubbleSortPassPerItem, int, partSorted, 122738188818040, 122738192274046, 3456006
bubbleSortPassPerItem, int, partSorted, 122738192341889, 122738195493684, 3151795
bubbleSortPassPerItem, int, partSorted, 122738195524794, 122738198892654, 3367860
bubbleSortPassPerItem, int, partSorted, 122738198933785, 122738203424067, 4490282
bubbleSortPassPerItem, int, partSorted, 122738203625820, 122738207229903, 3604083
bubbleSortPassPerItem, int, partSorted, 122738207346343, 122738210700676, 3354333
bubbleSortPassPerItem, int, partSorted, 122738210737793, 122738214340851, 3603058
bubbleSortPassPerItem, int, partSorted, 122738214405944, 122738217832718, 3426774
bubbleSortPassPerItem, int, partSorted, 122738217937628, 122738222180752, 4243124
bubbleSortPassPerItem, int, partSorted, 122738222356450, 122738225848414, 3491964
bubbleSortPassPerItem, int, partSorted, 122738225890249, 122738229148891, 3258642
bubbleSortPassPerItem, int, partSorted, 122738229178572, 122738232400754, 3222182
bubbleSortPassPerItem, int, partSorted, 122738232429182, 122738236776582, 4347400
bubbleSortPassPerItem, int, partSorted, 122738236996595, 122738240522213, 3525618
bubbleSortPassPerItem, int, partSorted, 122738240599803, 122738243752313, 3152510
bubbleSortPassPerItem, int, partSorted, 122738243872955, 122738247117866, 3244911
bubbleSortPassPerItem, int, partSorted, 122738247151196, 122738250412982, 3261786
bubbleSortPassPerItem, int, partSorted, 122738250447361, 122738255310439, 4863078
bubbleSortPassPerItem, int, partSorted, 122738255438097, 122738258838921, 3400824
bubbleSortPassPerItem, int, partSorted, 122738258889238, 122738262128966, 3239728
bubbleSortPassPerItem, int, partSorted, 122738262163939, 122738265687304, 3523365
bubbleSortPassPerItem, int, partSorted, 122738265738169, 122738269864809, 4126640
bubbleSortPassPerItem, int, partSorted, 122738270042193, 122738273780659, 3738466
bubbleSortPassPerItem, int, partSorted, 122738273869234, 122738277083314, 3214080
bubbleSortPassPerItem, int, partSorted, 122738277116987, 122738280272600, 3155613
bubbleSortPassPerItem, int, partSorted, 122738280307993, 122738283550265, 3242272
bubbleSortPassPerItem, int, partSorted, 122738283581528, 122738288277168, 4695640
bubbleSortPassPerItem, int, partSorted, 122738288443949, 122738291775464, 3331515
bubbleSortPassPerItem, int, partSorted, 122738291844851, 122738295080601, 3235750
bubbleSortPassPerItem, int, partSorted, 122738295111595, 122738298312448, 3200853
bubbleSortPassPerItem, int, partSorted, 122738298341736, 122738302568662, 4226926
bubbleSortPassPerItem, int, partSorted, 122738302727628, 122738306569038, 3841410
bubbleSortPassPerItem, int, partSorted, 122738306670433, 122738309904247, 3233814
bubbleSortPassPerItem, int, partSorted, 122738309941992, 122738313149911, 3207919
bubbleSortPassPerItem, int, partSorted, 122738313177520, 122738316383720, 3206200
bubbleSortPassPerItem, int, partSorted, 122738316412525, 122738320860691, 4448166
bubbleSortPassPerItem, int, partSorted, 122738320958408, 122738324258180, 3299772
bubbleSortPassPerItem, int, partSorted, 122738324333656, 122738327482732, 3149076
bubbleSortPassPerItem, int, partSorted, 122738327515726, 122738330710680, 3194954
bubbleSortPassPerItem, int, partSorted, 122738330743456, 122738334054176, 3310720
bubbleSortPassPerItem, int, partSorted, 122738334132924, 122738338885267, 4752343
bubbleSortPassPerItem, int, partSorted, 122738339081199, 122738342332173, 3250974
bubbleSortPassPerItem, int, partSorted, 122738342388971, 122738345659432, 3270461
bubbleSortPassPerItem, int, partSorted, 122738345696487, 122738348898184, 3201697
bubbleSortPassPerItem, int, partSorted, 122738348929021, 122738352884281, 3955260
bubbleSortPassPerItem, int, partSorted, 122738353125162, 122738356802719, 3677557
bubbleSortPassPerItem, int, partSorted, 122738356882994, 122738360089652, 3206658
bubbleSortPassPerItem, int, partSorted, 122738360123765, 122738363272675, 3148910
bubbleSortPassPerItem, int, partSorted, 122738363298808, 122738366457603, 3158795
bubbleSortPassPerItem, int, partSorted, 122738366487218, 122738371246260, 4759042
bubbleSortPassPerItem, int, partSorted, 122738371357505, 122738374724237, 3366732
