bubbleSortPassPerItem, int, partSorted, 126625820132813, 126626208990469, 388857656
bubbleSortPassPerItem, int, partSorted, 126626209125895, 126626587796279, 378670384
bubbleSortPassPerItem, int, partSorted, 126626587930452, 126626994198862, 406268410
bubbleSortPassPerItem, int, partSorted, 126626994519249, 126627393056413, 398537164
bubbleSortPassPerItem, int, partSorted, 126627393198838, 126627826642012, 433443174
bubbleSortPassPerItem, int, partSorted, 126627826828814, 126628209447977, 382619163
bubbleSortPassPerItem, int, partSorted, 126628209607614, 126628590016095, 380408481
bubbleSortPassPerItem, int, partSorted, 126628590138365, 126628968401799, 378263434
bubbleSortPassPerItem, int, partSorted, 126628968506022, 126629355795447, 387289425
bubbleSortPassPerItem, int, partSorted, 126629355895130, 126629728433022, 372537892
bubbleSortPassPerItem, int, partSorted, 126629728564205, 126630099078673, 370514468
bubbleSortPassPerItem, int, partSorted, 126630099225276, 126630473115853, 373890577
bubbleSortPassPerItem, int, partSorted, 126630473223733, 126630849358310, 376134577
bubbleSortPassPerItem, int, partSorted, 126630849486598, 126631226336271, 376849673
bubbleSortPassPerItem, int, partSorted, 126631226454724, 126631604650116, 378195392
bubbleSortPassPerItem, int, partSorted, 126631604864349, 126631984971764, 380107415
bubbleSortPassPerItem, int, partSorted, 126631985087709, 126632361436750, 376349041
bubbleSortPassPerItem, int, partSorted, 126632361552787, 126632737550663, 375997876
bubbleSortPassPerItem, int, partSorted, 126632737656851, 126633112876319, 375219468
bubbleSortPassPerItem, int, partSorted, 126633113071601, 126633484177321, 371105720
bubbleSortPassPerItem, int, partSorted, 126633484302585, 126633856471701, 372169116
bubbleSortPassPerItem, int, partSorted, 126633856580561, 126634249427977, 392847416
bubbleSortPassPerItem, int, partSorted, 126634249573347, 126634626192735, 376619388
bubbleSortPassPerItem, int, partSorted, 126634626323407, 126634998075997, 371752590
bubbleSortPassPerItem, int, partSorted, 126634998301724, 126635377666911, 379365187
bubbleSortPassPerItem, int, partSorted, 126635377753650, 126635801454223, 423700573
bubbleSortPassPerItem, int, partSorted, 126635801603409, 126636178359764, 376756355
bubbleSortPassPerItem, int, partSorted, 126636178461067, 126636556309677, 377848610
bubbleSortPassPerItem, int, partSorted, 126636556534471, 126636935431048, 378896577
bubbleSortPassPerItem, int, partSorted, 126636935686999, 126637313771780, 378084781
bubbleSortPassPerItem, int, partSorted, 126637313873742, 126637687845758, 373972016
bubbleSortPassPerItem, int, partSorted, 126637687981304, 126638063955726, 375974422
bubbleSortPassPerItem, int, partSorted, 126638064070983, 126638460021716, 395950733
bubbleSortPassPerItem, int, partSorted, 126638460146189, 126638834724910, 374578721
bubbleSortPassPerItem, int, partSorted, 126638834882946, 126639230496531, 395613585
bubbleSortPassPerItem, int, partSorted, 126639230622378, 126639610946259, 380323881
bubbleSortPassPerItem, int, partSorted, 126639611046395, 126639992994184, 381947789
bubbleSortPassPerItem, int, partSorted, 126639993112299, 126640375425469, 382313170
bubbleSortPassPerItem, int, partSorted, 126640375527017, 126640759178581, 383651564
bubbleSortPassPerItem, int, partSorted, 126640759321504, 126641141362531, 382041027
bubbleSortPassPerItem, int, partSorted, 126641141473340, 126641522193655, 380720315
bubbleSortPassPerItem, int, partSorted, 126641522316122, 126641904204566, 381888444
bubbleSortPassPerItem, int, partSorted, 126641904556788, 126642284544813, 379988025
bubbleSortPassPerItem, int, partSorted, 126642284677777, 126642662253847, 377576070
bubbleSortPassPerItem, int, partSorted, 126642662359120, 126643043081366, 380722246
bubbleSortPassPerItem, int, partSorted, 126643043188296, 126643418731544, 375543248
bubbleSortPassPerItem, int, partSorted, 126643418850738, 126643798208496, 379357758
bubbleSortPassPerItem, int, partSorted, 126643798290112, 126644194599957, 396309845
bubbleSortPassPerItem, int, partSorted, 126644194716937, 126644568567358, 373850421
bubbleSortPassPerItem, int, partSorted, 126644568663029, 126644946443200, 377780171
bubbleSortPassPerItem, int, partSorted, 126644946552624, 126645330053139, 383500515
bubbleSortPassPerItem, int, partSorted, 126645330170727, 126645706678151, 376507424
bubbleSortPassPerItem, int, partSorted, 126645706973411, 126646085451331, 378477920
bubbleSortPassPerItem, int, partSorted, 126646085550191, 126646461257254, 375707063
bubbleSortPassPerItem, int, partSorted, 126646461385466, 126646837077141, 375691675
bubbleSortPassPerItem, int, partSorted, 126646837191515, 126647215346871, 378155356
bubbleSortPassPerItem, int, partSorted, 126647215470048, 126647593174515, 377704467
bubbleSortPassPerItem, int, partSorted, 126647593357107, 126647969655349, 376298242
bubbleSortPassPerItem, int, partSorted, 126647969892214, 126648347518419, 377626205
bubbleSortPassPerItem, int, partSorted, 126648347657630, 126648725059289, 377401659
bubbleSortPassPerItem, int, partSorted, 126648725284020, 126649141681425, 416397405
bubbleSortPassPerItem, int, partSorted, 126649141802062, 126649521571340, 379769278
bubbleSortPassPerItem, int, partSorted, 126649521652486, 126649900416395, 378763909
bubbleSortPassPerItem, int, partSorted, 126649900511409, 126650278137293, 377625884
bubbleSortPassPerItem, int, partSorted, 126650278296014, 126650686986701, 408690687
bubbleSortPassPerItem, int, partSorted, 126650687101661, 126651064473273, 377371612
bubbleSortPassPerItem, int, partSorted, 126651064629394, 126651444763941, 380134547
bubbleSortPassPerItem, int, partSorted, 126651444967218, 126651824807780, 379840562
bubbleSortPassPerItem, int, partSorted, 126651824887580, 126652203295681, 378408101
bubbleSortPassPerItem, int, partSorted, 126652203434687, 126652580751348, 377316661
bubbleSortPassPerItem, int, partSorted, 126652580861998, 126652962795300, 381933302
bubbleSortPassPerItem, int, partSorted, 126652963033495, 126653342783273, 379749778
bubbleSortPassPerItem, int, partSorted, 126653342878366, 126653722385278, 379506912
bubbleSortPassPerItem, int, partSorted, 126653722470066, 126654119081353, 396611287
bubbleSortPassPerItem, int, partSorted, 126654119181191, 126654502011141, 382829950
bubbleSortPassPerItem, int, partSorted, 126654502115164, 126654880604310, 378489146
bubbleSortPassPerItem, int, partSorted, 126654880739552, 126655259006971, 378267419
bubbleSortPassPerItem, int, partSorted, 126655259101181, 126655640384693, 381283512
bubbleSortPassPerItem, int, partSorted, 126655640491371, 126656020947725, 380456354
bubbleSortPassPerItem, int, partSorted, 126656021051019, 126656399492018, 378440999
bubbleSortPassPerItem, int, partSorted, 126656399692018, 126656774028981, 374336963
bubbleSortPassPerItem, int, partSorted, 126656774128337, 126657152511644, 378383307
bubbleSortPassPerItem, int, partSorted, 126657152612208, 126657529096511, 376484303
bubbleSortPassPerItem, int, partSorted, 126657529191973, 126657907295129, 378103156
bubbleSortPassPerItem, int, partSorted, 126657907401739, 126658286636277, 379234538
bubbleSortPassPerItem, int, partSorted, 126658286870006, 126658664015957, 377145951
bubbleSortPassPerItem, int, partSorted, 126658664196944, 126659049232854, 385035910
bubbleSortPassPerItem, int, partSorted, 126659049356477, 126659436310825, 386954348
bubbleSortPassPerItem, int, partSorted, 126659436446910, 126659809751581, 373304671
bubbleSortPassPerItem, int, partSorted, 126659809855556, 126660185680269, 375824713
bubbleSortPassPerItem, int, partSorted, 126660185859495, 126660561792588, 375933093
bubbleSortPassPerItem, int, partSorted, 126660561888811, 126660941332264, 379443453
bubbleSortPassPerItem, int, partSorted, 126660941435883, 126661340683722, 399247839
bubbleSortPassPerItem, int, partSorted, 126661340826821, 126661721336137, 380509316
