bubbleSortPassPerItem, Character, partSorted, 129570805609619, 129571161314089, 355704470
bubbleSortPassPerItem, Character, partSorted, 129571161414442, 129571517493400, 356078958
bubbleSortPassPerItem, Character, partSorted, 129571517608966, 129571874050662, 356441696
bubbleSortPassPerItem, Character, partSorted, 129571874146954, 129572252822348, 378675394
bubbleSortPassPerItem, Character, partSorted, 129572252930208, 129572608674471, 355744263
bubbleSortPassPerItem, Character, partSorted, 129572608783655, 129572964879626, 356095971
bubbleSortPassPerItem, Character, partSorted, 129572964978649, 129573321235920, 356257271
bubbleSortPassPerItem, Character, partSorted, 129573321355477, 129573677336095, 355980618
bubbleSortPassPerItem, Character, partSorted, 129573677432686, 129574033808153, 356375467
bubbleSortPassPerItem, Character, partSorted, 129574033920584, 129574396073854, 362153270
